Time,B1_id,B1_pop,B1_speed,B1_reward,B2_id,B2_pop,B2_speed,B2_reward,comp1_pop,comp2_pop,comp3_pop,comp4_pop,chem1_pop,chem2_pop,time_till_eat,exploration,reward
0,1,100,1,0,2,100,1,0,0,0,0,0,0,0,0,0,0,10,1.0,0
1,1,0.01,1,-99.99,2,0.01,0.98,-99.99,0,0,0,0,0.0002,0.0003,0,0,0,9,1.0,0
2,2,0.010098,0.9798,9.799999999999913e-05,1,0.010098,1,9.799999999999913e-05,0,0,0,0,0.00010298,0.00040692,0,0,0,8,1.0,0
3,2,0.010196940607919999,0.97969702,9.894060791999955e-05,1,0.010196940607919999,1,9.894060791999955e-05,0,0,0,0,0.0001029992060792,0.00041194682431679993,0,0,0,7,1.0,0
4,2,0.01029683046204397,0.9795940207939209,9.988985412397178e-05,1,0.01029683046204397,1,9.988985412397178e-05,0,0,0,0,0.00010399829668123171,0.0004159926867249268,0,0,0,6,1.0,0
5,2,0.010397678272313129,0.9794900224972396,0.00010084781026915846,1,0.010397678272313129,1,0.00010084781026915846,0,0,0,0,0.0001050167656899436,0.00042006705775977444,0,0,0,5,1.0,0
6,2,0.01049949282076717,0.9793850057315496,0.00010181454845404128,1,0.01049949282076717,1,0.00010181454845404128,0,0,0,0,0.00010604509586457114,0.0004241803834082845,0,0,0,4,1.0,0
7,2,0.010602282961984975,0.9792789606356851,0.00010279014121780498,1,0.010602282961984975,1,0.00010279014121780498,0,0,0,0,0.00010708328057849546,0.0004283331223134819,0,0,0,3,1.0,0
8,2,0.010706057623524706,0.9791718773551066,0.00010377466153973017,1,0.010706057623524706,1,0.00010377466153973017,0,0,0,0,0.00010813140904103201,0.00043252563616412307,0,0,0,2,1.0,0
9,2,0.010810825806363188,0.9790637459460656,0.00010476818283848208,1,0.010810825806363188,1,0.00010476818283848208,0,0,0,0,0.00021729783021767407,0.0003286500305525369,0,0,0,1,1.0,0
10,2,0.010916596585334509,0.978846448115848,0.0001057707789713213,1,0.010916596585334509,1,0.0001057707789713213,0,0,0,0,0.00011133894415552183,0.0004399503637189058,0,0,0,0,1.0,0
11,2,0.011023379109567716,0.9787351091716925,0.0001067825242332069,1,0.011023379109567716,1,0.0001067825242332069,0,0,50,50,0.00011134718053723238,0.00044533466801989773,0,0,0,9,0.99,0.030745225326408415
12,2,0.011131182602923529,0.9786237619911553,0.00010780349335581287,1,0.011131182602923529,1,0.00010780349335581287,0,0,50,50,0.00011242529783460761,0.00044970065079714017,0,0,0,8,0.99,0.030745225326408415
13,2,0.01124001636442997,0.9785113366933207,0.00010883376150644213,1,0.01124001636442997,1,0.00010883376150644213,0,0,50,50,0.00022592458026694548,0.0003416974974408706,0,0,0,7,0.99,0.030745225326408415
14,2,0.011349889768716818,0.9782854121130538,0.00010987340428684697,1,0.011349889768716818,1,0.00010987340428684697,0,0,50,50,0.00011575814348983765,0.0004574125657230814,0,0,0,6,0.99,0.030745225326408415
15,2,0.011460812266448746,0.9781696539695639,0.000110922497731928,1,0.011460812266448746,1,0.000110922497731928,0,0,50,50,0.00023037382676387332,0.00034839849365069317,0,0,0,5,0.99,0.030745225326408415
16,2,0.011572793384757097,0.9779392801428001,0.00011198111830835154,1,0.011572793384757097,1,0.00011198111830835154,0,0,50,50,0.00023375960596278065,0.0003506677864792199,0,0,0,4,0.99,0.030745225326408415
17,2,0.011685842727670143,0.9777055205368372,0.00011304934291304566,1,0.011685842727670143,1,0.00011304934291304566,0,0,50,50,0.00023605445061303067,0.00035408195969489654,0,0,0,3,0.99,0.030745225326408415
18,2,0.011799969976541728,0.9774694660862242,0.00011412724887158512,1,0.011799969976541728,1,0.00011412724887158512,0,0,50,50,0.00012036024427154759,0.00047553961865861807,0,0,0,2,0.99,0.030745225326408415
19,2,0.0119151848904782,0.9773491058419527,0.00011521491393647228,1,0.0119151848904782,1,0.00011521491393647228,0,0,50,50,0.00012035545134749749,0.00048136279180571425,0,0,0,1,0.99,0.030745225326408415
20,2,0.012031497306763497,0.9772287503906052,0.00011631241628529652,1,0.012031497306763497,1,0.00011631241628529652,0,0,50,50,0.00012151852758110994,0.000486073520188597,0,0,0,0,0.99,0.030745225326408415
21,2,0.012148917141282278,0.9771072318630241,0.00011741983451878102,1,0.012148917141282278,1,0.00011741983451878102,0,0,100,100,0.00012270435668863388,0.0004908174208531771,0,0,0,9,0.9801,0.03389803762393285
22,2,0.012267454388940986,0.9769845275063355,0.00011853724765870793,1,0.012267454388940986,1,0.00011853724765870793,0,0,100,100,0.00024657613134570605,0.00037293180587676133,0,0,0,8,0.9801,0.03389803762393285
23,2,0.012387119124086701,0.9767379513749898,0.00011966473514571536,1,0.012387119124086701,1,0.00011966473514571536,0,0,100,100,0.00012633695255432408,0.0004992140830222357,0,0,0,7,0.9801,0.03389803762393285
24,2,0.012507921500923683,0.9766116144224354,0.00012080237683698147,1,0.012507921500923683,1,0.00012080237683698147,0,0,100,100,0.00012634258453478008,0.0005053090008671697,0,0,0,6,0.9801,0.03389803762393285
25,2,0.012629871753927454,0.9764852718379006,0.00012195025300377159,1,0.012629871753927454,1,0.00012195025300377159,0,0,100,100,0.0002538608609238969,0.0003839492426264953,0,0,0,5,0.9801,0.03389803762393285
26,2,0.012752980198256316,0.9762314109769766,0.00012310844432886214,1,0.012752980198256316,1,0.00012310844432886214,0,0,100,100,0.00013006841059180212,0.0005139587003565176,0,0,0,4,0.9801,0.03389803762393285
